text,preview
"
      My children make me a better scientist      ","
  
      Having children can offer unique career benefits, this scientist writes  
"
"
      Understanding graduate funding can be taxing      ","
  
      The recent House tax bill spurs our columnist to consider the complexity of graduate student finances  
"
"
      How a sneaker geek landed his dream job, one step at a time      ","
  
      After falling in love with sneakers as a kid, Geng Luo methodically built his research foundation and network so that he could follow his passion  
"
"
      New data offer the latest look at Ph.D. training and employment trends       ","
  
      NSF has released its Survey of Earned Doctorates data for 2016  
"
"
      For graduate students looking beyond academia, professors can be an unexpected resource      ","
  
      Even though most faculty members don't have experience outside universities, they can still help students who are interested in careers beyond academia  
"
"
      Fraying ties among academia, industry, and government hurt scientists and science      ","
  
      A convocation of experts held last month highlights the importance of these relationships  
"
"
      What career items are on your holiday wish list?      ","
  
      Scientists share the career-related gifts they are hoping for this season  
"
"
      Greek expat academics' initiative aims to reverse the country's brain drain      ","
  
      With few employment options at home, Greek academics are taking matters into their own hands  
"
"
      Explore the skills that can open career doors after your doctoral training      ","
  
      The skills you develop as a Ph.D. student and those you need for jobs have some overlap, but there are also important gaps   
"
"
      Four lessons for being a great mentor to undergrads      ","
  
      How a grad student grew into a mentor  
"
"
      Scientists: What are you thankful for?      ","
  
      In the spirit of Thanksgiving, readers reflect on what they’re grateful for in their careers  
"
"
      Coming out and standing up for others      ","
  
      Elise Wantling won the Global STEM Service Award at this year’s Out in Science, Technology, Engineering, and Mathematics conference  
"
"
      How writing haiku has made me a better scientist      ","
  
      Seventeen syllables can offer a fresh perspective  
"
"
      What the heck is an engineer anyway?      ","
  
      The distinction between science and engineering can be puzzling, our columnist writes  
"
"
      To predict what research will be transformative, a crystal ball might be your best option      ","
  
      Researchers shouldn't necessarily aim for ""transformative"" when deciding which projects to pursue, a recent study highlights  
"
"
      I'm an undocumented scientist fighting for my Dream      ","
  
      DACA allowed this grad student to pursue a career in science, but now her future is uncertain  
"
"
      Link up to jump-start your job search      ","
  
      Part one of the Ph.D. job seeker’s guide to LinkedIn  
"
"
      Creating career categories for better data collection and transparency      ","
  
      A classification scheme released last month highlights the diversity of jobs that Ph.D. holders go into after receiving their degrees  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      New medical research bill aims to help early-career scientists      ","
  
      The 21st Century Cures Act includes provisions to support earlier independence  
"
"
      Do it yourself? When the researcher becomes the subject      ","
  
      Scientists studying themselves must weigh the benefits and the potential complications  
"
"
      How to keep up with the scientific literature      ","
  
      Are you having trouble staying on top of the ever-growing body of scientific knowledge? These researchers’ tips are here to help  
"
"
      Postdocs leaving the lab      ","
  
      Postdocs have many career opportunities beyond research, as these five stories show  
"
"
      Dubious conferences put the ‘pose’ in ‘symposium’      ","
  
      When our columnist was invited to speak at a conference, he was surprised at what he found  
"
"
      Changing the face of computer science      ","
  
      Computer science professor Juan Gilbert tackles the lack of diversity in his field with aggressive recruiting and a focus on inclusion  
"
"
      With Brexit pending, early-career researchers ponder their futures      ","
  
      EU researchers working in the United Kingdom grapple with the uncertainty created by the vote to leave the union  
"
"
      Do your homework      ","
  
      Customizing faculty applications for different departments is well worth the effort, our contributor explains  
"
"
      Growing Greenland’s archaeologists      ","
  
      Graduate student Michael Nielsen is one of a handful of students eager to study the archaeology of their homeland.  
"
"
      A transition from postdoc to industry      ","
  
      Neuroscientist Ana Mingorance’s experience highlights some pointers for successfully making the move to industry  
"
"
      Scientists ride the podcasting wave      ","
  
      Podcasting can offer personal and professional benefits for researchers who want to dive in  
"
"
      Foreign-born scientists find a home in China      ","
  
      New measures implemented by the Central Government—increased funding  and easing of green card restrictions, among others—are aimed at attracting more non-native researchers to China.  
"
"
      Finding your way to satisfying work      ","
  
      A recently published book offers guidance for scientists’ career planning  
"
"
      Choosing a residency as an M.D.-Ph.D.       ","
  
      Aspiring physician-scientists have unique considerations and challenges when choosing a residency training program, as our contributor explains  
"
"
      Top firms bring out creativity, growth in their scientists      ","
  
      This year’s Top Employers cite cutting-edge research, professional development opportunities, and proper work-life balance as the reasons for making the list.  
"
"
      Making money, with an eye to the sky      ","
  
      Yajaira Sierra-Sastre has spent her career reinventing herself to seize opportunities as they arise and inspire others  
"
"
      Full STEAM ahead      ","
  
      Our columnist explores the relationship between art and science  
"
"
      Promoting alternative careers: An adviser's responsibility        ","
  
      Lynn Kamerlin makes a point of supporting her trainees' career aspirations, whatever they may be  
"
"
      University of Hawaii fined for safety violations in lab explosion      ","
  
      The $69,300 fine was reduced from an initial $115,500 after a settlement reflecting the institution’s efforts to address the problems and improve its safety culture  
"
"
      Being the enabler      ","
  
      A career in research development can offer a way for scientists to stay connected to research while also leveraging their soft skills  
"
"
      Wales wants more scientists      ","
  
      Known for its majestic landscape and melodic language, Wales has also become a science powerhouse through funding and hiring initiatives.  
"
"
      The two most critical elements of interview day      ","
  
      Don’t let a bad first or last impression sink your chances of landing the job  
"
"
      Bringing image manipulation to light      ","
  
      A mix of initiative, mentorship, and serendipity has propelled Mike Rossner’s career in publishing and data integrity  
"
"
      The many shades of European postdoc funding       ","
  
      A new report sheds light on the varied funding schemes available for postdocs in Europe  
"
"
      Business principles for basic researchers      ","
  
      Leadership, management, and marketing are not just for CEOs. Researchers could gain a lot from mixing business principles with science.  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      I was worried about teaching, but it turned out to be a highlight of graduate school      ","
  
      Putting in the time to build teaching skills is worth the effort, this student writes  
"
"
      From biochemistry to neuroscience to AI: One researcher's career transformation      ","
  
      Bioengineer, neuroscientist, and AI expert Jennifer Schumacher has harnessed the science and art of transformation throughout her life and career  
"
"
      There's no shame in leaving academia      ","
  
      Why a tenured professor left her post, and the rewards she has found since  
"
"
      An outer view of the interview      ","
  
      Preparing for a job interview? Our columnist offers some advice  
"
"
      Get comfortable with discomfort and start communicating      ","
  
      It can be hard to work in a place where the local language isn’t your own, but the challenge is surmountable, this researcher writes  
"
"
      In the job search, it pays to take the difficult path      ","
  
      Our columnist explains why you shouldn’t rely on the easy avenues to a job  
"
"
      Want to avoid a ‘default postdoc’? Try an internship      ","
  
      Internships help Ph.D. students make more confident career decisions, according to a new study  
"
"
      How being inventive built my career      ","
  
      Academia should value entrepreneurship and invention, this scientist writes  
"
"
      Report puts biomedical workforce training under the microscope—again      ","
  
      Our columnist explores whether this report, unlike its predecessors, will actually create any change  
"
"
      How to write your Ph.D. thesis      ","
  
      Recent graduates and current students share what worked for them  
"
"
      How coming out helped prepare me to ‘come out’ as a nonacademic a decade later      ","
  
      When this grad student realized that she wanted to leave academia, she found that she could draw on her surprisingly similar experience of coming out  
"
"
      Training fellowship recipients are more likely to get future funding      ","
  
      Does this mean that the fellowships are working, or that they are perpetuating biases?  
"
"
      Mental health in academia is too often a forgotten footnote. That needs to change      ","
  
      A grad student's struggle with depression highlights the challenges that many face  
"
"
      Laboratories of democracy      ","
  
      Should scientists run for political office? Our columnist explores the possibilities and pitfalls  
"
"
      Biomedical workforce report offers both familiar and new recommendations      ","
  
      Congressionally mandated council needed to make sure changes happen, group concludes  
"
"
      How I learned to stop caring about prestige      ","
  
      This postdoc has found contentment in what he has accomplished, regardless of the prominence of his institution or the journals in which he has published  
"
"
      The core traits of career success      ","
  
      Our columnist describes the handful of qualities that successful scientists share  
"
"
      Graduate students take charge on mental health care      ","
  
      How a tragedy jump-started a peer-driven support network  
"
"
      On an island, but not alone      ","
  
      When his Ph.D. fieldwork took him to a remote island, this researcher learned to reach out  
"
"
      How one program is helping empower women to bring their ideas to market      ","
  
      Female scientists are less likely to commercialize their research. This program aims to change that  
"
"
      I got lost in academia. To find my way, I moved across an ocean      ","
  
      An unconventional international career grant was just what this struggling assistant professor needed  
"
"
      Making the leap back to research      ","
  
      After leaving the lab, these three scientists decided they wanted to go back—and made it happen  
"
"
      Cancer genomics and immunotherapy: Opportunities at the intersection      ","
  
      Careers in immuno-oncology remain in high demand and welcome specialists from many fields  
"
"
      For crucial career choices, listen to advice—but follow your heart      ","
  
      A research scientist reflects on how she embraced the freedom to make the decisions that worked best for her  
"
"
      Talking science—for the kids      ","
  
      Why our columnist spent a week answering kids’ questions on the internet  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      Yes, you can have a life outside the lab      ","
  
      Early-career researchers share their strategies for balancing work and life  
"
"
      Ten years of career lessons       ","
  
      Ph.D. holders reflect on how their careers have developed at NIH’s 10th annual career symposium  
"
"
      If grad students ran the world      ","
  
      Trainees may lack some polish, but advice that job seekers shouldn’t act like grad students and postdocs rubs our columnist the wrong way  
"
"
      Survey highlights the challenges disabled academics face—and what can be done to address them      ","
  
      Disabled academics face formidable challenges, but with more awareness, many could be addressed relatively easily  
"
"
      To answer the million-dollar job search question, you need all of the pieces      ","
  
      That requires developing skills in three important categories, our columnist explains  
"
"
      How to get the most out of attending conferences      ","
  
      These tips and tricks will help make your conference trips fruitful—and fun  
"
"
      The downs and ups of corporate research      ","
  
      Industrial job seekers need to understand today’s fractured, fluid corporate research landscape  
"
"
      How a sociologist is pushing to improve academia’s workplace climate      ","
  
      Jennifer Sheridan uses data to encourage department chairs to tackle workplace climate issues, which harm quality of life and diversity  
"
"
      Stop beating your head against the paywall      ","
  
      Our columnist experiments with a new online plugin that simplifies literature searches  
"
"
      This tool can help you envision your career       ","
  
      A new interactive infographic illustrates the career trajectories of Ph.D. holders in the U.S.  
"
"
      The skills that industry hires need       ","
  
      A Dow Chemical Company survey reveals what new hires needed to learn for industry success  
"
"
      Talk yourself right into a job      ","
  
      These tips will help you make your career communication skills work for you   
"
"
      Minority grad students less likely to submit work for publication       ","
  
      The results, from a survey of UC Berkeley students in the physical sciences and engineering, highlight a stumbling block for diversity and inclusion efforts—but also offer a potential bright spot  
"
"
      The sad state of professional development programs for scientists      ","
  
      A new Council of Graduate Schools report that highlights the lack of career development support at many institutions also offers some useful resources  
"
"
      Ph.D. students face significant mental health challenges      ","
  
      Study of doctoral students in Belgium highlights the mental health struggles that many in academia experience  
"
"
      Staff scientists find satisfaction in playing the support role       ","
  
      As staff scientists, Ph.D. holders can stay close to the research while expanding their skills and developing satisfying careers  
"
"
      As the U.S. scientific workforce ages, the younger generation faces the implications      ","
  
      Baby boomers and retirement policies are contributing to overall aging, and the trend is likely to continue, a new study reports   
"
"
      Burden of ‘Prof.’      ","
  
      The “Professor” title is due for a rebranding, our columnist writes  
"
"
      The keys to career control      ","
  
      Don’t expect others to take care of your job search and career growth; take control yourself, our columnist advises  
"
"
      Career success stories of the European Research Council      ","
  
      As the European Research Council celebrates its 10th anniversary, three Starting Grant awardees describe their career paths  
"
"
      More female researchers globally, but challenges remain       ","
  
      Despite progress, female researchers remain a minority and publish fewer papers, according to a new report  
"
"
      How the tyranny of prestige disadvantages women      ","
  
      Research shows how using seemingly “objective” criteria of merit can stack admissions and hiring decisions in favor of men  
"
"
      Navigating technology transfer issues      ","
  
      Thinking of taking your technology from bench to boardroom? Learn how your university's Technology Transfer Office can help.  
"
"
      Transferring skills beyond the lab      ","
  
      Leaving research doesn’t mean that the skills you developed will be wasted  
"
"
      What early-career researchers can do to advocate for science      ","
  
      A reinvigorated science policy committee is working to engage scientists, government officials, and the community—and you can too  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      When your employer is evil      ","
  
      It can be uncomfortable to work for a company or institution with a bad reputation, but is it the wrong choice?  
"
"
      Genetic counseling: A growing area of opportunity      ","
  
      Genetic counseling is a small but growing profession that offers many career possibilities for scientists who want to help patients  
"
"
      Elsewhere in Science: Funding, online research subjects, and more       ","
  
      NIH budget … Psychologists depend on online subjects … Funding African-American researchers … Active learning helps retention … Working Life  
"
"
      The fool’s gold of Ph.D. employment data      ","
  
      Focusing on whether recent Ph.D. recipients are employed misses the larger point, our guest columnist argues  
"
"
      Managing up: An industry skill you can learn in academia      ","
  
      Our columnist explains how “managing” your boss helps everyone involved   
"
"
      Interpreting nonacademic job ads      ","
  
      A useful article in Inside Higher Ed provides tips for understanding job ads and communicating your skills  
"
"
      Elsewhere in Science: Open access, Dance Your Ph.D., and more      ","
  
      Open access in Europe … Funding in France and the United States … Dance Your Ph.D. … Reproducibility and transparency … Summer reading … Working Life  
"
"
      New overtime rule applies to postdocs regardless of teaching duties      ","
  
      U.S. Department of Labor clarifies that science postdocs are not covered by the rule's teaching exemption  
"
"
      Serving families with science and empathy      ","
  
      Genetic counseling can offer rewarding career opportunities at the interface of genetics, medicine, psychology, education, and counseling  
"
"
      Postdoc mysteries      ","
  
      Three recent developments add some questions for postdocs’ lives and career outlooks  
"
"
      Elsewhere in Science: Funding Zika research, countering implicit bias, and more      ","
  
      Sharing clinical data … President Obama pushes for Zika funding … New Science editor-in-chief … French budget cuts … Implicit bias in peer review … Working Life  
"
"
      Teaching safety skills, not just safety rules      ","
  
      Institutions are taking various approaches to emphasize lab safety and impart crucial skills  
"
"
      Elsewhere in Science: Small business grants, preprint servers, and more      ","
  
      What NSF funds … Brexit … Small Business Innovation Research program controversy … New overtime rule implications … Accelerating Science and Publication in biology … Working Life  
"
"
      'Employment crisis' for new Ph.D.s is an illusion      ","
  
      NSF surveys generate what seem to be conflicting data on the status of those entering the scientific job market  
"
"
      Postdoc pay to increase due to new overtime rule      ","
  
      A new law from the U.S. Department of Labor regarding overtime will result in salary bumps for many  
"
"
      Take Your Potentially Reckless Child to Lab Day      ","
  
      Our columnist explores the value of letting kids visit the lab  
"
"
      New program to help Syrian students close to home      ","
  
      European Commission funding to support scholarships and other projects in neighboring countries  
"
"
      'Extension' beyond traditional academic jobs      ","
  
      The U.S. Cooperative Extension System, a partnership between land-grant institutions and government, offers opportunities to bridge academia and the “real world”  
"
"
      Elsewhere in Science: Big ideas, science hype, and more      ","
  
      An open science prize … Management changes … Big ideas from NSF … Considering the rights of human study participants … Confronting stem cell hype … Working Life  
"
"
      Gender pay gap explained by children and choice of field, study finds      ","
  
      A year after earning their Ph.D.s, women earn nearly a third less than men  
"
"
      A networking playbook, part 2      ","
  
      Our columnist explains how to navigate the four stages of competence when developing your networking skills  
"
"
      Do I have to leave to launch?      ","
  
      Researchers are finding new ways to explore their entrepreneurial interests while continuing their academic work  
"
"
      Elsewhere in Science: Syrian scholars, management blunders, and more      ","
  
      Displaced Syrian academics … Australia’s science budget … Resettling research chimps … National Science Foundation management mistakes … The importance of infrastructure … Working Life  
"
"
      Grassroots Future of Research group makes it official      ","
  
      The formerly volunteer-based organization has obtained funding and incorporated as an official nonprofit  
"
"
      Urging universities to act on safety      ","
  
      A new resource draws on foundational reports to provide safety recommendations  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      Ruth Hubbard and the evolution of biology      ","
  
      The first female tenured biology professor at Harvard University helped reshape how we think about women in science  
"
"
      Tackling the ‘vicious cycle’ of financial challenges and poor mental health      ","
  
      A recent survey of undergraduate students in the United Kingdom highlights the link between financial issues and poor mental health, but help is available  
"
"
      Recommendation letters reflect gender bias      ","
  
      Female geoscientists applying for selective fellowships are less likely to be described as “brilliant,” “trailblazer,” or “one of the best students I’ve ever had,” study finds  
"
"
      Nobel Prize-winning lessons      ","
  
      With the announcement of the 2016 Nobel Prize winners around the corner, we revisit some articles from the archives that offer lessons from laureates  
"
"
      Why aspiring academics should do less science      ","
  
      To ease the transition to a future professorship, trainees should spend some of their time on activities other than research, our contributors explain  
"
"
      Under the same stars      ","
  
      Early-career nuclear physicists who have traveled far for their careers balance the tug of family and home and the pull of their field  
"
"
      Soundtrack of our (academic) lives      ","
  
      A new song from singer-songwriter John K. Samson reflects on the “postdoc blues.”  
"
"
      How to review a paper      ","
  
      For Peer Review Week, researchers from across the spectrum offer advice and insights about how to review research manuscripts  
"
"
      When you’re the scientist in the family      ","
  
      Our columnist explores how scientists’ “scientific-ness” can create particular challenges for their loved ones  
"
"
      New fellowship aims to increase diversity in the life sciences      ","
  
      The Howard Hughes Medical Institute program will support researchers from underrepresented groups for up to 8 years, including postdoc training and early faculty career   
"
"
      Getting the most out of your postdoc      ","
  
      For National Postdoc Appreciation Week, recent and current postdocs reflect on their experiences  
"
"
      Reviewers rule: Strategies for faculty advancement       ","
  
      It’s a skill not often taught in grad school, but reviewing papers and grant proposals can provide a significant boost in one’s early career.  
"
"
      Building your personal brand      ","
  
      Branding isn’t just for advertising agencies; it can help you get a job, our columnist explains  
"
"
      Rare diseases and rare opportunities      ","
  
      Drawn to both research and medicine, a biochemical geneticist thrives after choosing a saner schedule  
"
"
      What to consider when you’re thinking about jobs      ","
  
      Job seekers should think about factors beyond the specifics of the work they’ll be doing, as results of a new survey highlight   
"
"
      Outsourcing, coming soon to a lab near you      ","
  
      Hiking postdoc salaries will alter how academic science gets done, economist predicts  
"
"
      Networking with Dr. God      ","
  
      Don’t be afraid to connect with senior researchers; they’re only human, and the benefits are mutual  
"
"
      The implications of graduate student unionization      ","
  
      What will be the long-term effects of last week’s ruling that students at private institutions can unionize?  
"
"
      Diversity, funding, and grassroots organizing      ","
  
      A grassroots effort to establish a fellowship supporting trainees from underrepresented backgrounds yields gratifying results  
"
"
      Young European researchers set groundwork for policy changes      ","
  
      The Bratislava Declaration of Young Researchers presents the challenges that early-career scientists face and policy proposals for addressing them  
"
"
      Diving into a new place      ","
  
      As the academic year begins, this collection of articles offers advice for researchers who are setting out somewhere new  
"
"
      Alternatives to professorships in academia      ","
  
      Love academia but not-so-sure about becoming a professor? Fret not, there are plenty of job opportunities other than professorships in higher education.  
"
"
      It’s time for a summer break      ","
  
      We’re taking next week off, but here’s some suggested reading to wrap up the summer  
"
"
      The sporting life      ","
  
      Three sports science researchers share their experiences working with elite athletes  
"
"
      Science: The Gathering      ","
  
      A new game modeled on scientific career advancement offers food for thought, our columnist writes  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      How to (seriously) read a scientific paper       ","
  
      Reading becomes easier with experience, but it is up to each scientist to identify the techniques that work best for them.  
"
"
      Elsewhere in Science: Feminist glaciology, blogging, and more      ","
  
      A feminist glaciology framework … National Science Foundation funding … Science blogging … Working Life  
"
"
      After years of growth, female first authorship in top medical journals has stalled        ","
  
      Female first authorship has increased since 1994 but plateaued from 2009 to 2014  
"
"
      Why we need another Einstein       ","
  
      There aren’t enough celebrity scientists these days, our columnist argues  
"
"
      How to handle a sexual harasser      ","
  
      A professor advises fellow female scientists of a common sexual harassment pattern  
"
"
      A neuroscientist's journey from cancer patient to company founder      ","
  
      After Antonio Ulloa’s career was waylaid by cancer, he still managed to pursue his entrepreneurial goals  
"
"
      Elsewhere in Science: Budgets, forensics, and more      ","
  
      China’s spending plan … M.D.-Ph.D. funding … Special issue on forensics … Inside Graduate Admissions … Working Life  
"
"
      A push for stronger sexual harassment policies at the University of California      ","
  
      Postdocs and student workers push for the University of California to better address allegations of sexual harassment by faculty members.  
"
"
      Learn to read between the lines of a job ad       ","
  
      Understanding what an ad’s language really means will help you optimize your job search results.  
"
"
      Leaving academia       ","
  
      Whether out of personal choice or a lack of opportunity, leaving academia behind and reinventing your career is often a challenging endeavor.  
"
"
      Elsewhere in Science: Reproducibility, research parasites, and more      ","
  
      Italian science … Spending in India … Reproducibility … The face of innovation … Data sharing … Working Life  
"
"
      Displaced American STEM workers spur Senate hearing      ","
  
      Policymakers, academics, and other stakeholders discuss H-1B skilled guest worker visa program  
"
"
      How prestige shapes the professoriate      ","
  
      Graduate admissions and faculty hiring are stacked in favor of alumni of certain schools  
"
"
      Critiquing climate coverage      ","
  
      A collaborative project to “peer review” popular media stories could boost scientists’ careers  
"
"
      Elsewhere in Science: Primate research, diversity, data visualization, and more       ","
  
      Nonhuman primate research under review … Applications solicited for broadening participation initiative … Using social media data for research … Data Stories Contest  
"
"
      What makes elite academics move?       ","
  
      Children’s ages, peer environment quality, and recent funding affect decisions to move to new institutions, a new study suggests  
"
"
      Breastfeeding while building a career      ","
  
      Breastfeeding while pursuing a scientific career can be a challenge, but it isn’t insurmountable  
"
"
      Elsewhere in Science: Science comedy, authorship complications, sexual harassment, and more      ","
  
      Communicating with comedy … Crowdsourcing creates authorship complications … Wage gap … Scientific societies and sexual harassment … Working Life  
"
"
      Responsible research guidelines for the global scientist      ","
  
      A new book offers guidance to young researchers and their supervisors on how they can implement the best research practices wherever they are.   
"
"
      Yes, you're a great scientist; now shut up about it      ","
  
      Scientists should acknowledge their imperfections, our columnist argues  
"
"
      Sustainable seafood entrepreneurs share their tips for success       ","
  
      Eco-minded entrepreneurs use business to promote sustainable fishing.  
"
"
      Elsewhere in Science, 12 Feb. 2016      ","
  
      Budget news … Sexual misconduct … Open science for Zika … Behind the scenes with gravitational waves … Working Life  
"
"
      Summit proposes steps toward biomedical workforce sustainability      ","
  
      Workforce experts met in Washington, D.C.,  last week to discuss plans and goals for the future  
"
"
      How fear can limit your career potential      ","
  
      These three fears can interfere with your job search success, but only if you let them  
"
"
      Engineering professor who helped uncover Flint water crisis speaks out despite the risks       ","
  
      Marc Edwards discusses the “perverse incentives” that can get in the way of scientists making a difference  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      Maximizing your informational interview investment      ","
  
      Asking the right questions will set you on the right track for this crucial networking activity  
"
"
      NIH sets new postdoc stipend levels      ","
  
      New rule governing overtime in the United States pushes up postdoc pay  
"
"
      Honoring excellent lab safety performance      ","
  
      Acknowledging and rewarding safe research practices can make a difference  
"
"
      To support female academics, data and accountability are needed      ","
  
      Institutions must implement integrated approaches to address the barriers that women face in biomedicine  
"
"
      Déjà vu all over again      ","
  
      Investigation into yet another lab disaster reveals the same basic cause as numerous others  
"
"
      Astronomers push for a more diverse, inclusive community      ","
  
      The American Astronomical Society has endorsed the vision of the 2015 Inclusive Astronomy meeting  
"
"
      In male-dominated subjects, hiring favors women—for teachers in France      ","
  
      Study of French teacher hiring investigating the role of gender shows interesting trends, but some question the interpretation and broader relevance  
"
"
      Career advice highlights from the EuroScience Open Forum       ","
  
      Speakers covered topics including talking to your supervisor about career plans and navigating the evolving publishing landscape  
"
"
      Low math confidence discourages female students from pursuing STEM disciplines      ","
  
      Efforts to improve math teaching and student confidence could help women persist in STEM  
"
"
      Bill to reform U.S. skilled worker visa programs is effort to ‘build momentum’      ","
  
      Unlikely to pass in the near future, a newly introduced bill aims to bring attention to problems with H-1B and L-1 visa programs  
"
"
      Want a job? Here’s some conflicting advice!      ","
  
      Looking for a job can require navigating frustratingly inconsistent advice, our columnist writes  
"
"
      Younger researchers win NIH grants at rates similar to their elders      ","
  
      Lower funding for younger scientists due to lower numbers, not less successful applications  
"
"
      Disregarding a risk does not equal an accident      ","
  
      A U.S. Supreme Court decision can inform how we talk about lab safety incidents  
"
"
      Find the best of both worlds in Manchester      ","
  
      Manchester will be on display this year as the host of the 2016 EuroScience Open Forum. And the city has a lot to offer.  
"
"
      Applying the 80-20 rule to your job search      ","
  
      Knowing that 80% of your results come from just 20% of your effort can help you prioritize, our columnist writes  
"
"
      Looking to space as an asteroid miner      ","
  
      Aerospace engineer Chris Lewicki wants to use the materials in near-Earth asteroids to one day facilitate long-haul space missions  
"
"
      Report on UH lab explosion reveals deep, systemic safety failures      ","
  
      Fundamental to the lapses that led to the explosion at the University of Hawaii, Manoa, was poor institutional safety culture  
"
"
      How scientific culture discourages new ideas      ","
  
      Recent studies highlight why policy changes are needed to make science more receptive to novelty, our columnist writes  
"
"
      Tuning in to deaf needs      ","
  
      Psychology researcher Peter Hauser aims to help deaf and hard-of-hearing students succeed in the biomedical sciences  
"
"
      Building successful collaborations      ","
  
      Explore the benefits of building bridges and pick up some tips about how to do it in this collection of articles from our archives  
"
"
      What readers want from science blogs      ","
  
      Surveys investigating blog readership can help inform authors about who they’re writing for  
"
"
      Getting a great recommendation letter       ","
  
      Undergraduate researchers should follow these tips to get the best recommendation letters  
"
"
      Building a translational medicine powerhouse in China      ","
  
      Translational medicine has received a shot in the arm thanks to recent efforts from China’s central and regional governments. These efforts present many opportunities for researchers to build a career in biomedicine.  
"
"
      Blazing paths in genetic counseling      ","
  
      Four researchers’ distinct paths led them to find varied applications for their training  
"
"
      Learn how to make labs safer      ","
  
      A free webinar later this month will introduce participants to a useful new report and discuss how to keep labs safe  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      Getting credit for peer review      ","
  
      Online platforms help researchers track their peer reviewing activity, which could help their career advancement  
"
"
      Elsewhere in Science, 5 Feb 2016      ","
  
      Presidential politics … Call for jailed chemist’s release … Cancer moonshot funding … Publishing replications … Working Life  
"
"
      First down and Ph.D. to go      ","
  
      Professional football player John Urschel pursues his math studies in the offseason  
"
"
      From flavonoids to flavor      ","
  
      A postdoc follows a scientific passion from the lab to entrepreneurship  
"
"
      A mathematician finds his way through adversity      ","
  
      Hermann Mena grew as a mathematician in his native Ecuador, but he also wrestled with obstacles  
"
"
      Zero tolerance for sexual harassment at NSF and NASA      ","
  
      Funding agencies have the power to change research culture, but they neglect concerns about inadequate lab safety  
"
"
      Elsewhere in Science, 29 Jan. 2016      ","
  
      Trade secrets to China? … Excellence in Germany … Debating tenure ... Working Life  
"
"
      Responsibly conducting research      ","
  
      Experts recommend individual actions and institutional policies that will create a culture of responsible conduct of research.  
"
"
      Work program for recent foreign grads in legal limbo      ",
"
      Building a balanced scientist      ","
  
       When Srinivas Tadigadapa embarked on his research training in the 1990s, he imagined becoming a professor of engineering.   
"
"
      Elsewhere in Science, 22 Jan. 2016      ","
  
      Turkish academics under fire … Sexual harassment … Open science … Data check … Working Life  
"
"
      How to read a scientific paper      ","
  
      Our columnist describes how he learned to read—and actually understand—journal articles  
"
"
      Academic H-1Bs by the numbers      ",
"
      Elsewhere in Science, 15 Jan 2016      ","
  
      Singapore spending … Professor suspended for harassment … Academic entrepreneurs in Brazil … Cancer moonshot … Working Life  
"
"
      Make a powerful interview impact by controlling the intangibles      ",
"
      Using PowerPoint to shine on stage      ",
"
      Elsewhere in Science, 8 Jan 2016      ",
"
      Want a letter? You write it for me      ","
  
      Roger Day argues that ghostwriting letters of support, while common, is a major problem  
"
"
      Two sides of the H-1B      ","
  
      Museum exhibit and new book present diverging views of the high-skill guest worker visa  
"
"
      Information sparse about Tsinghua University lab death      ",
"
      Getting your project from start to finish      ","
  
      A roundup of articles to help make your New Year’s resolutions come true  
"
"
      The (hairy?) face of medical leadership      ",
"
      Beyond the tick boxes      ",
"
      Scientists sharing the wealth      ","
  
      Researchers at well-resourced labs can give back to those with less, our columnist advises  
"
"
      AAAS Chemistry Section rescinds Patrick Harran's nomination as fellow      ",
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      We need to do more for women in science      ","
  
      The scientific community must do a better job confronting the issues facing women in science, our author writes  
"
"
      Elsewhere in Science: Pirating papers, handling harassment, and more      ","
  
      Labor disputes in Spain … Job cuts in Australia … Sci-Hub … Sexual harassment in physical anthropology … Struggles for researchers in Mexico … Working Life  
"
